OBJECTID,MUNICIPALITE,NOM_LIEU,XNAD83MTM6,YNAD83MTM6,NOM_RESEAU,MOT_PASSE,DETAILS,FOURNISSEUR,GEOM,GlobalID
1,10043,Aérogare Paul-Émile-Lapointe,230505.0820000004,5371305.3796999995,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{19D286B3-EB0C-4F0A-9B3F-FC422C7A9609}
3,10043,Bibliothèque Le Bic,215492.14714999963,5359865.76025,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{DD1B718B-BCA1-45A6-B057-6C338088B446}
4,10043,Bibliothèque Pascal-Parent,233578.21850000042,5358376.984200001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{96705019-6A7C-4D48-A09C-0F4CCC7E9D51}
5,10043,Bibliothèque de Pointe-au-Père,233952.53830000013,5375158.7787,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{D69F8D5B-A943-4A15-ACCF-14CB9B1C1BB0}
6,10043,Centre communautaire Pointe-au-Père,234177.36569999997,5374441.290100001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{FFC4734D-8CFA-4C5A-A8A7-E679831D9D85}
7,10043,Centre communautaire Rimouski-Est,230853.55829999968,5371617.7129999995,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{AB47233B-34C5-4A43-86BE-98C2ACBC1D3D}
8,10043,Centre communautaire Saint-Robert,228852.9676000001,5367114.6712,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{D38B053D-F45A-4173-BC71-24C3B9484BDC}
9,10043,Centre communautaire Sainte-Odile,227452.66339999996,5366442.5682,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{3C6784EF-8973-48BE-8C89-E08D534C50A6}
10,10043,Centre communautaire Sainte-Agnès Nord,229744.91160000023,5369569.457699999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{2502107C-1F6A-430B-9960-E39B83636824}
11,10043,Centre communautaire Sacré-Coeur,224050.23929999955,5366101.155099999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{38C62553-D50E-4914-BE40-D005E9DE0400}
12,10043,Parc Beauséjour,227918.20739999972,5366956.933,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{68CC8DD1-FF81-47A3-A850-E55F23C7B3B7}
14,10043,Parc des Anciens Combattants,228650.6782999998,5368551.563200001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{68177DB7-8932-4EA5-957F-6066790312CE}
15,10043,Salle du Conseil de ville,228984.46270000003,5368339.315075001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{A85A5C2E-5DA0-4E0C-B6AE-4CAA0AD661E8}
16,10043,Tourisme Rimouski,228578.4731999999,5368512.219799999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{D7F80812-3032-404B-8357-3D070220382A}
17,10043,Café des Halles,228397.43730000034,5368319.7951,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{0A00C5C2-9EE1-4FAB-8833-BD2880D5E7AC}
